Sort,Fill,Table & Column,Type,Key/Index,Typical Values,Comments,Proposed Update,Validated?
152,1,"FamilyTable -
FatherID",Integer,"Foreign Key,
idxFamilyFatherID","1, 2, 3...",Links to PersonID in the PersonTable,,
153,1,"FamilyTable -
MotherID",Integer,"Foreign Key,
idxFamilyMotherID","1, 2, 3...",Links to PersonID in the PersonTable,,
154,1,"FamilyTable -
ChildID",Integer,Foreign Key,"0, 1, 2,...","Links to PersonTable.PersonID of Child last active as the root person in Pedigree view,
0 = No Children in family or no child displayed as root in Pedigree view.",,
155,1,"FamilyTable -
HusbOrder",Integer,,"0, 1, 2,...","Husband Order, from People View, Edit Menu, Rearrange Spouses:
0 if never rearranged",,
156,1,"FamilyTable -
WifeOrder",Integer,,"0, 1, 2,...","Wife Order, from People View, Edit Menu, Rearrange Spouses:
0 if never rearranged",,
157,1,"FamilyTable -
IsPrivate",Integer,,0,Not Implemented,,
158,1,"FamilyTable -
Proof",Integer,,"0, 1, 2, 3","Proof, from Spouse Fact in Edit Person window:
0 = [blank], 
1 = Proven, 
2 = Disproven, 
3 = Disputed",,
159,1,"FamilyTable -
SpouseLabel",Integer,,0,Not Implemented,,
160,1,"FamilyTable -
FatherLabel",Integer,,"0, 1, 2, 99","Father Label, from Spouse Fact in Edit Person window:
0 = Father
1 = Husband
2 = Partner
99 = Other",,
161,1,"FamilyTable -
MotherLabel",Integer,,"0, 1, 2, 99","Mother Label, from Spouse Fact in Edit Person window:
0 = Mother
1 = Wife
2 = Partner
99 = Other",,
162,1,"FamilyTable -
SpouseLabelStr",Text,,,Not Implemented,,
163,1,"FamilyTable -
FatherLabelStr",Text,,User Defined,"Spouse Fact, from Edit Person window:
User defined text when FatherLabel=99",,
164,1,"FamilyTable -
MotherLabelStr",Text,,User Defined,"Spouse Fact, from Edit Person window:
User defined text when MotherLabel=99",,
165,1,"FamilyTable -
Note",Text,,User Defined,"Note for Spouse Fact, from Edit Person window:
User Interface supports line breaks and formatting tags.",,
166,1,"FamilyTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
167,0,"GroupTable -
RecID",Integer,Primary Key,"1,2,3,...",Record Identification Number,,
168,0,"GroupTable -
GroupID",Integer,,"1,2, 1001,1002,1003,...","1 = Results of Person Search from Search menu,
2 = Results of Person Search - Advanced from Search menu,
>1000 = Group (Simple or Rules based)
Note: a temporary group is created whenever the basic or advanced Person Search options are run from the Search Menu. The group is automatically deleted when the search results are cleared or a subsequent search is run.",See Change History Tab,Y
169,0,"GroupTable -
StartID",Integer,Foreign Key,"1,2,3,...","Links to PersonTable.PersonID,
Starting Number of consecutively-numbered PersonIDs",,
170,0,"GroupTable -
EndID",Integer,Foreign Key,"1,2,3,...","Links to PersonTable.PersonID,
Ending Number of consecutively-numbered PersonIDs",,
171,0,"GroupTable -
UTCModDate",Float,,Null,Not implemented,,
172,1,"HealthTable -
RecID",Integer,Primary Key,"1,2,3,…",Record Identification Number,See Change History Tab,Y
173,1,"HealthTable -
OwnerID",Integer,"idxHealthOwnerId, 
 Foreign Key","1,2,3,…",Links to PersonID in the PersonTable,See Change History Tab,Y
174,1,"HealthTable -
Condition",Integer,,"1-20, 999","Condition, from the Health Condition view of the Edit Person window:
1= Infectious and parasitic disease,
2 = Respiratory diseases,
3 = Reproductive health and childbirth,
4 = Nutritional deficiency,
5 = Cancer,
6 = Endocrine, blood, and immune disorders,
7 = Diabetes,
8 = Mental health,
9 = Neurological,
10 = Eye condition,
11 = Ear condition,
12 = Cardiovascular,
13 = Digestive diseases,
14 = Renal and Urogenital,
15 = Skin disease,
16 = Musculoskeletal diseases,
17 = Congenital anomalies,
18 = Oral disease,
19 = Sexual health,
20 = Injuries and accidents,
999 = Other",See Change History Tab,Y
175,1,"HealthTable -
SubCondition",Text,,User Defined,"Details, from the Health Condition view of the Edit Person window.",See Change History Tab,Y
176,1,"HealthTable -
Date",Float,,Position coded string or free text,[See Date sheet for additional details.],See Change History Tab,Y
177,1,"HealthTable -
Note",Text,,User Defined,"Health Note, from the Health Condition view of the Edit Person window.
User Interface supports line breaks and formatting tags",See Change History Tab,Y
178,1,"HealthTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",See Change History Tab,Y
179,0,"MediaLinkTable -
LinkID",Integer,Primary Key,,Link Identification Number,,
180,0,"MediaLinkTable -
MediaID",Integer,"Foreign Key,
idxMediaOwnerID","1,2,3,…","Media Identification Number, links to MediaID of MultimediaTable",,
181,0,"MediaLinkTable -
OwnerType",Integer,,"0,1,2,3,…","Owner Type:
0 = Person (Person Fact), 
1 = Family (Spouse or Parents Fact)
2 = Event, 
3 = Source, 
4 = Citation, 
5 = Place,
6 = Task,
7 = Name (Primary or Alternate),
14 = Place Details,
19 = Association",,
